product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
RAISIN GLDN SDLS TFF,ROHTSTEIN CORP,BOGHOSIA,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local Business/Non-Local Products,"Woburn,MA",2,127.3
RAISIN IND PACK TFF,SUN MAID GROWERS OF CA,SUN-MAID,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),3,129.21
Raspberries,ARMSTRONG MARKETING,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),8,336.39
Raspberries - IPM,Nourse Farms,Nourse Farms,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Whateley,MA",1,55
RASPBERRIES RED IQF,WYMANS OF MAINE,WEST CRK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Cherryfield,ME",13,485.87
RASPBERRIES RED IQF,WYMANS OF MAINE,WYMAN,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Cherryfield,ME",3,153.56
RAVIOLI CHEESE STFD RND 1.23 OZ,PEDE BIPEDE BROS ITALIAN,PEDE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Schenectady,NY",15,243.15
RAVIOLI CHICKEN & SPINACH TFF,JOSEPHS GOURMET PASTA,JOSEPHS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Haverhill,MA",45,2174.4
RAVIOLI RSTD VEG LG MEDALLION,LILLYS FRESH PASTA CO,PIANEPIC,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Everett,MA",117,4763.070000000001
RAVIOLI RSTD WILD MUSHROOM TFF,JOSEPHS GOURMET PASTA,JOSEPHS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Haverhill,MA",189,9704.13
RAVIOLI STFD BRAISED BEEF MED,JOSEPHS GOURMET PASTA,JOSEPHS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Haverhill,MA",351,18101.07
RAVIOLI W/FRSH SPINACH &,JOSEPHS GOURMET PASTA,JOSEPHS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Haverhill,MA",6,202.38
RELISH SWEET GF TFF,BAY VALLEY FOODS LLC,WEST CRK,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),5,198.45
RELISH SWEET PACKET TFF,SAUER BRANDS,WEST CRK,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),1,27.12
RICE ARBORIO SUPERFINO RISOTTO,OTIS MCALLISTER INC,PIANCONE,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),5,301.2
RICE BASMATI WHI LONG GRAIN,OTIS MCALLISTER INC,ASIANPRD,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),181,4217.410000000001
RICE BRWN WHL GRAIN PARBOILED,RICELAND FOODS INC,RICELAND,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),203,3308.9
RICE JASMINE,OTIS MCALLISTER INC,ASIANPRD,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),191,4201.27
RICE JASMINE TFF,SCHREIBER FOODS INTL INC,AMBROSIA,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Upper Saddle River,NJ",21,615.3
RICE LONG GRAIN 4% BROKEN POLY,RICELAND FOODS INC,WEST CRK,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),47,590.73
RICE LONG GRAIN PARBOILED CUBE,RICELAND FOODS INC,WEST CRK,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),580,8573.11
RICE SUSHI,REMA FOODS INC,ASIANPRD,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Englewood Cliffs,NJ",44,2727.79
RICE WILD PURE 100% TFF,UNCLE BENS,UNCL BNS,Minimal Proccessed,Grains & Legumes,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),16,1087.2
ROLL BRIOCHE FC TFF FZ,TRADITIONAL BREADS INC,TRADITNL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lynn,MA",3,125.7
ROLL CINNAMON SUPREME,GENERAL MILLS DRY & FRZN,PILLSBRY,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),11,623.04
ROLL DGH CINNAMON SUPREME,GENERAL MILLS DRY & FRZN,PILLSBRY,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),51,2876.7599999999993
ROLL DGH CINNAMON TWIST TFF,GENERAL MILLS DRY & FRZN,PILLSBRY,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),14,685.12
ROLL DNR FRNCH PARBKD,TRADITIONAL BREADS INC,TRADITNL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lynn,MA",2,59.94
ROLL DNR PULL APART W/FLOUR,TRADITIONAL BREADS INC,TRADITNL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lynn,MA",7,310.61
"ROLL KAISER CORN DSTD 4.5"" TFF",FLOWERS SPECIALTY FDS,HRTG OVN,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),34,1129.88
ROLL PRETZEL GIANT SLCD,J&J SNACK FOODS CORP,BVRNBAKE,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Pennsauken Township,NJ",6,269.76
ROLL SANDWICH GF FZ,GILLIANS FOODS INC,GILLIANS,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Salem,MA",3,97.13
ROLL SUB WHI SLCD 6 IN HNGD,FLOWERS SPECIALTY FDS,HRTG OVN,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,34.62
"ROLL TELERA FC SLCD 4.75"" FZ",ASPIRE BAKERIES LLC,LA BREA,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),99,3584.79
ROLL TELERA FZ,ACE BAKERY LLC,WESTONFD,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),26,750.62
ROSEMARY FRSH,RUBY ROBINSON INFINITE,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),8,65.18
Rutabagas - Diced,PLAINVILLE FARM,Plainville Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Hadley,MA",1,20
SAFFRON SPANISH,ATALANTA CORPORATION,ALTAJ,Minimal Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"Elizabeth,NJ",18,881.23
SAGE FRSH,RUBY ROBINSON INFINITE,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,9.17
SALAD FRUIT CKTL CUT DRY PACK,FRESH VALLEY FOODS,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Haverhill,MA",99,5561.570000000001
Salad Greens - Organic,Old Friends Farm,Old Friends Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Minimal (or No) Processing",Local Vendors/Local Products,"Amherst,MA",1,29
"Salad Greens, Baby Crispy Green Leaf",LITTLE LEAF FARMS,Little Leaf Farms,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Chelsea,MA",20,458.40999999999997
"Salad Greens, Baby Red + Green Leaf Blend",LITTLE LEAF FARMS,Little Leaf Farms,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Chelsea,MA",9,208.51999999999998
"Salad Greens, Baby Spring Mix",LITTLE LEAF FARMS,Little Leaf Farms,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Chelsea,MA",97,2182.09
SALAD MACARONI ELBOW TFF,RESERS FINE FOODS INC,WEST CRK,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),19,328.32
"Salad Mix, Winter Gem - Certified Naturally Grown",Queen's Greens,Queen's Greens,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Amherst,MA",5,300.45
SALAD OLIVE TFF,COSMOS FOOD PRODUCTS INC,COSMOS,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local Business/Non-Local Products,"West Haven,CT",5,76.64
SALAD POTATO ORGNL TFF,RESERS FINE FOODS INC,WEST CRK,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,15.91
SALAD POTATO REDSKIN TFF,RESERS FINE FOODS INC,RESERS,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),35,1085.3500000000001
SALAD SPRING MIX,ARMSTRONG MARKETING,PEAK,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),514,14820.29
SALAD SUPERFOOD BLND KALE,HEART OF THE HARVEST INC,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Hartford,CT",1,28.78
SALAMI GENOA SLCD,CAMPOFRIO FOOD GROUP,FIORUCCI,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),6,322.02
SALAMI SOPPRESSATA,CAMPOFRIO FOOD GROUP,FIORUCCI,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,62.24
SALMON ATLANTIC FIL 4 OZ CI FZ,HIGH LINER FOODS USA INC,HGH LNR,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),2,148.52
SALMON CLD-SMKD SKNLS FIL SLCD,IPAP DUCKTRAP RIVER OF ME,SLVR SRC,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Belfast,ME",88,5485.96
SALMON FIL 4-5 LB ATLANTIC,TRUE NORTH SALMON,FRSHCTCH,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,444.4
SALMON PORTN 4 OZ B/S IND VP FZ,HIGH LINER FOODS USA INC,BAYWINDS,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),14,1300.18
SALMON PORTN 4 OZ FRSH,GREAT EASTERN SEAFOOD,PACKER,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Local,Global GAP Certified",Local Vendors/Local Products,"Boston,MA",256,38141.92
SALMON PORTN 4 OZ SKNLS,GREAT EASTERN SEAFOOD,PACKER,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Local,Global GAP Certified",Local Vendors/Local Products,"Boston,MA",1045,123123.78000000001
SALMON SOCKEYE FIL 1-3 LB MSC,GREAT EASTERN SEAFOOD,GRTESTRN,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Local,MSC Certified Fisheries (No Chain of Custody)",Local Vendors/Local Products,"Boston,MA",1,142.15
SALMON SOCKEYE SIDE 1-2 LB FZ,CHANNEL FISH PROCESSING,PACKER,Animal Protein,Fish/Seafood,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Boston,MA",1,117.9
SALSA MED CHNKY CUP,PEPSICO FRITO LAY STACYS,TOSTITOS,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Dayville,CT",228,3285.4799999999996
SALSA MED THICK & CHNKY,MEGAMEX FOODS LLC,CONTIGO,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),23,937.49
SALSA MILD THICK & CHNKY,MEGAMEX FOODS LLC,CONTIGO,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),2,78.92
SALSA PICANTE MED TFF,CAMPBELL FOODSERVICE CO,PACE,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),1,33.04
SALT IODIZED GRANULAR TFF,MORTON SALT INC,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),3,20.7
SALT IODIZED SHAKER PLAS,SUGAR FOODS CORPORATION,DLCTBLS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),6,89.04
SALT KSHR,MORTON SALT INC,MORTON,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),65,1714.01
SALT KSHR BULK,CARGILL SALT,DMND CRY,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,180.64
SALT PACKET FLAT TFF,SUGAR FOODS CORPORATION,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),7,73.17
SALT SEA FLAKES TUB,BELGRAVIA IMPORTS,MALDON,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Middletown,RI",2,46.96
SAUCE & GLAZE GENERAL TSO TFF,JKL SPECIALTY FOODS,ASN MENU,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Stamford,CT",61,3019.21
SAUCE BBQ CANNONBALL CUP TFF GF,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",6,105
SAUCE BBQ CLASSIC TFF,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",2,77.38
SAUCE BBQ CUP,SAUER BRANDS,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),89,2762.56
SAUCE BBQ CUP TFF GF,KENS FOODS INC,SWTBABYR,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",4,65.6
SAUCE BBQ ORGNL,KENS FOODS INC,SWTBABYR,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",45,1869.3500000000004
SAUCE BROWNING & SEASONING LQD,KRAFT HEINZ DRY,GRVYMSTR,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,41.36
SAUCE CHEESE CHED,IPAP ADVANCED FOOD PRODUC,SLVR SRC,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Holland,PA",8,292.99999999999994
SAUCE CHEESE CHED & AMER FRSH,BLOUNT FINE FOODS CORP,BLOUNT,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,(null),2,81.08
SAUCE CHEESE CHED TFF,Nestle Professional,CHEFMATE,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,57.68
SAUCE CHEESE MILD ORGNL,GEHL FOODS LLC,GEHLS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Germantown,WI",1,29.84
SAUCE CHEESE NACHO,IPAP ADVANCED FOOD PRODUC,REALFRSH,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Holland,PA",6,286.08
SAUCE CHEESE NACHO TFF,IPAP ADVANCED FOOD PRODUC,SLVR SRC,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Holland,PA",9,332.25
SAUCE CHILI PASTE,REMA FOODS INC,SAMBAL,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Englewood Cliffs,NJ",7,296.20000000000005
SAUCE CHILI SRIRACHA GF,DOT FOODS INC,HUY FONG,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),48,1508.0300000000002
SAUCE CHILI SWEET RED HOT,MCCORMICK& CO INC,FRANK HT,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),2,82.84
SAUCE CHILI SWEET THAI STYLE,ROLAND FOODS LLC,ROLAND,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayton,NJ",6,309.07
SAUCE CHILI TFF,KRAFT HEINZ DRY,HEINZ,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),3,121.76
SAUCE CRNBRY JELLIED TFF,OCEAN SPRAY CRANBERRIES,OCNSPRY,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,(null),2,66.42
SAUCE DEMI GLACE DE VEAU,BONEWERKS CULINARTE,CULINART,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Green Bay,WI",48,4075.7400000000007
SAUCE DESSERT CARAMEL,LYONS MAGNUS LLC,LYONS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,30.75
SAUCE DESSERT DESIGN CHOC,LYONS MAGNUS LLC,LYONS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,34.9
SAUCE GENERAL TSO,IPAP VANEE FOODS COMPANY,ASIANPRD,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Berkeley,IL",4,161.6
SAUCE GOCHUJANG,VENTURA FOODS LLC,SCCRAFT,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),7,278.81
SAUCE HOISIN,LEE KUM KEE USA INC,LEEKUMKE,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,42.3
SAUCE HOISIN,ROLAND FOODS LLC,ROLAND,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Dayton,NJ",7,350.06000000000006
SAUCE HOT,CHOLULA FOOD CO,CHOLULA,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),6,276.44
SAUCE HOT PACKET,SAUER BRANDS,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),8,126.32
SAUCE HOT PACKET TFF,TW GARNER FOOD CO,TEX PETE,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Winston-Salem,NC",328,3571.9200000000005
SAUCE MARINARA RND CUP TFF,SAUER BRANDS,ROMA,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),45,996.3000000000001
SAUCE PASTA AL DENTE,STANISLAUS FOOD PRODUCTS,AL DENTE,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local Business/Non-Local Products,"Modesto,CA",752,28639.859999999997
SAUCE PESTO BASIL NO NUT GF,CASA DI LISIO INC,ROMA,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lynn,MA",201,5076.16
SAUCE PESTO BASIL NO PIGNOLIA,CARLAS PASTA INC,CARLAS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,(null),18,713.52
SAUCE RED HOT CAYENNE PEPPER GF,MCCORMICK& CO INC,FRANK HT,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),15,380.01
SAUCE RED HOT ORGNL,MCCORMICK& CO INC,FRANK HT,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,12.54
SAUCE RED PEPPER HOT,MCILHENNY CO,TABASCO,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Avery Island,LA",9,628.11
SAUCE RED PEPPER HOT TFF,MCILHENNY CO,TABASCO,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Avery Island,LA",5,165.45
SAUCE SESAME GARLIC,JKL SPECIALTY FOODS,ASN MENU,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Stamford,CT",12,587.72
SAUCE SOY LITE LS TFF,KIKKOMAN SALES USA INC,KIKKOMAN,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),1,6.54
SAUCE SOY PREM PACKET,LEE KUM KEE USA INC,LEEKUMKE,Culinary Ingredients,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Processed Culinary Ingredients,NA,(null),17,374.34
SAUCE SOY TAMARI GF PLAS BOTTLE,KIKKOMAN SALES USA INC,KIKKOMAN,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),140,8169.000000000001
SAUCE SOY TAMARI WHEAT FREE,DOT FOODS INC,SAN J,Culinary Ingredients,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Processed Culinary Ingredients,NA,(null),2,219.14
SAUCE SOY TFF PACKET,KIKKOMAN SALES USA INC,KIKKOMAN,Simple Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,(null),88,763.2600000000002
SAUCE STK TFF,KRAFT HEINZ DRY,A1,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),9,440.78
SAUCE SWEET & SOUR,IPAP VANEE FOODS COMPANY,ASIANPRD,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Berkeley,IL",2,75.76
SAUCE SWEET & SOUR,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",7,330.68
SAUCE SWEET & SOUR CUP TFF,SAUER BRANDS,WEST CRK,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),44,1397.8799999999999
SAUCE SWEET & SOUR CUP TFF GF,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",26,445.9
SAUCE SZECHUAN STIR FRY FZ,HORMEL FOODS CORP,HS TSANG,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,129.7
SAUCE TAHINI PURE SESAME,ROLAND FOODS LLC,ROLAND,Culinary Ingredients,Seasoning,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Processed Culinary Ingredients,Local DC of Natl. Co.,"Dayton,NJ",8,1192.1999999999998
SAUCE TARTAR GF TFF CUP,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",42,909.0400000000001
SAUCE TARTAR MAYO BASE TFF GF,KENS FOODS INC,KENS,Highly Proccessed,Seasoning,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Marlborough,MA",4,168.92
